model,threshold,n_total,n_accepted,n_rejected,coverage,mismatch_rate,accepted_error_rate,accepted_non_low_quality_rate,ece
anthropic/claude-haiku-4-5-20251001,0.5,500,478,22,0.956,0.176,0.18410041841004185,0.8158995815899581,0.09431999999999999
anthropic/claude-haiku-4-5-20251001,0.6,500,478,22,0.956,0.176,0.18410041841004185,0.8158995815899581,0.09431999999999999
anthropic/claude-haiku-4-5-20251001,0.7,500,467,33,0.934,0.166,0.1777301927194861,0.8222698072805139,0.09431999999999999
anthropic/claude-haiku-4-5-20251001,0.8,500,459,41,0.918,0.158,0.1721132897603486,0.8278867102396514,0.09431999999999999
anthropic/claude-haiku-4-5-20251001,0.9,500,388,112,0.776,0.134,0.17268041237113402,0.8273195876288659,0.09431999999999999
anthropic/claude-haiku-4-5-20251001,0.95,500,1,499,0.002,0.002,1.0,0.0,0.09431999999999999
anthropic/claude-opus-4-6,0.5,500,464,36,0.928,0.15,0.16163793103448276,0.8383620689655172,0.08694000000000002
anthropic/claude-opus-4-6,0.6,500,456,44,0.912,0.14,0.15350877192982457,0.8464912280701754,0.08694000000000002
anthropic/claude-opus-4-6,0.7,500,452,48,0.904,0.138,0.15265486725663716,0.8473451327433629,0.08694000000000002
anthropic/claude-opus-4-6,0.8,500,437,63,0.874,0.128,0.14645308924485126,0.8535469107551488,0.08694000000000002
anthropic/claude-opus-4-6,0.9,500,333,167,0.666,0.076,0.11411411411411411,0.8858858858858859,0.08694000000000002
anthropic/claude-opus-4-6,0.95,500,80,420,0.16,0.01,0.0625,0.9375,0.08694000000000002
anthropic/claude-sonnet-4-5-20250929,0.5,500,472,28,0.944,0.156,0.1652542372881356,0.8347457627118644,0.09480000000000005
anthropic/claude-sonnet-4-5-20250929,0.6,500,472,28,0.944,0.156,0.1652542372881356,0.8347457627118644,0.09480000000000005
anthropic/claude-sonnet-4-5-20250929,0.7,500,446,54,0.892,0.138,0.1547085201793722,0.8452914798206278,0.09480000000000005
anthropic/claude-sonnet-4-5-20250929,0.8,500,443,57,0.886,0.138,0.15575620767494355,0.8442437923250564,0.09480000000000005
anthropic/claude-sonnet-4-5-20250929,0.9,500,425,75,0.85,0.128,0.15058823529411763,0.8494117647058823,0.09480000000000005
anthropic/claude-sonnet-4-5-20250929,0.95,500,60,440,0.12,0.008,0.06666666666666667,0.9333333333333333,0.09480000000000005
gemini/gemini-2.5-flash,0.5,500,422,78,0.844,0.148,0.17535545023696683,0.8246445497630331,0.14787999999999998
gemini/gemini-2.5-flash,0.6,500,422,78,0.844,0.148,0.17535545023696683,0.8246445497630331,0.14787999999999998
gemini/gemini-2.5-flash,0.7,500,419,81,0.838,0.146,0.17422434367541767,0.8257756563245824,0.14787999999999998
gemini/gemini-2.5-flash,0.8,500,204,296,0.408,0.05,0.12254901960784313,0.8774509803921569,0.14787999999999998
gemini/gemini-2.5-flash,0.9,500,187,313,0.374,0.042,0.11229946524064172,0.8877005347593583,0.14787999999999998
gemini/gemini-2.5-flash,0.95,500,63,437,0.126,0.016,0.12698412698412698,0.873015873015873,0.14787999999999998
gemini/gemini-2.5-pro,0.5,500,499,1,0.998,0.196,0.1963927855711423,0.8036072144288577,0.18022000000000002
gemini/gemini-2.5-pro,0.6,500,499,1,0.998,0.196,0.1963927855711423,0.8036072144288577,0.18022000000000002
gemini/gemini-2.5-pro,0.7,500,497,3,0.994,0.194,0.19517102615694165,0.8048289738430584,0.18022000000000002
gemini/gemini-2.5-pro,0.8,500,492,8,0.984,0.188,0.1910569105691057,0.8089430894308943,0.18022000000000002
gemini/gemini-2.5-pro,0.9,500,481,19,0.962,0.182,0.1891891891891892,0.8108108108108109,0.18022000000000002
gemini/gemini-2.5-pro,0.95,500,408,92,0.816,0.14,0.1715686274509804,0.8284313725490197,0.18022000000000002
openai/gpt-5-mini,0.5,500,473,27,0.946,0.19,0.20084566596194503,0.7991543340380549,0.1522
openai/gpt-5-mini,0.6,500,468,32,0.936,0.186,0.1987179487179487,0.8012820512820513,0.1522
openai/gpt-5-mini,0.7,500,449,51,0.898,0.178,0.19821826280623608,0.8017817371937639,0.1522
openai/gpt-5-mini,0.8,500,440,60,0.88,0.17,0.19318181818181818,0.8068181818181818,0.1522
openai/gpt-5-mini,0.9,500,352,148,0.704,0.128,0.18181818181818182,0.8181818181818182,0.1522
openai/gpt-5-mini,0.95,500,108,392,0.216,0.026,0.12037037037037036,0.8796296296296297,0.1522
openai/gpt-5-nano,0.5,500,477,23,0.954,0.184,0.1928721174004193,0.8071278825995807,0.07574
openai/gpt-5-nano,0.6,500,456,44,0.912,0.17,0.18640350877192982,0.8135964912280702,0.07574
openai/gpt-5-nano,0.7,500,423,77,0.846,0.156,0.18439716312056736,0.8156028368794326,0.07574
openai/gpt-5-nano,0.8,500,83,417,0.166,0.016,0.0963855421686747,0.9036144578313253,0.07574
openai/gpt-5-nano,0.9,500,14,486,0.028,0.002,0.07142857142857142,0.9285714285714286,0.07574
openai/gpt-5-nano,0.95,500,0,500,0.0,0.0,nan,nan,0.07574
openai/gpt-5.2,0.5,500,497,3,0.994,0.194,0.19517102615694165,0.8048289738430584,0.13391999999999998
openai/gpt-5.2,0.6,500,497,3,0.994,0.194,0.19517102615694165,0.8048289738430584,0.13391999999999998
openai/gpt-5.2,0.7,500,493,7,0.986,0.192,0.1947261663286004,0.8052738336713996,0.13391999999999998
openai/gpt-5.2,0.8,500,482,18,0.964,0.19,0.1970954356846473,0.8029045643153527,0.13391999999999998
openai/gpt-5.2,0.9,500,408,92,0.816,0.152,0.18627450980392157,0.8137254901960784,0.13391999999999998
openai/gpt-5.2,0.95,500,175,325,0.35,0.056,0.16,0.84,0.13391999999999998
